State,Date,Year,Month,Unemployment_Rate,Information,Professional_and_Tech_Services,Leisure_and_Hospitality,Other_Services,Total_Tech_Employment_Thousands
Alabama,2016-01-01,2016,1,5.9,1584.3,351.2,1611.6,1233.1,1935.5
Alabama,2016-02-01,2016,2,5.9,1593.1,351.2,1623.6,1241.9,1944.3
Alabama,2016-03-01,2016,3,5.9,1601.8,352.8,1632.0,1249.0,1954.6
Alabama,2016-04-01,2016,4,5.8,1617.9,354.6,1646.8,1263.3,1972.5
Alabama,2016-05-01,2016,5,5.8,1619.0,353.6,1650.0,1265.4,1972.6
Alabama,2016-06-01,2016,6,5.8,1620.3,354.5,1649.4,1265.8,1974.8
Alabama,2016-07-01,2016,7,5.8,1618.9,355.0,1636.6,1263.9,1973.9
Alabama,2016-08-01,2016,8,5.8,1621.6,354.2,1643.8,1267.4,1975.8
Alabama,2016-09-01,2016,9,5.8,1623.5,356.4,1650.6,1267.1,1979.9
Alabama,2016-10-01,2016,10,5.8,1620.5,354.9,1650.9,1265.6,1975.4
Alabama,2016-11-01,2016,11,5.7,1627.1,354.5,1659.1,1272.6,1981.6
Alabama,2016-12-01,2016,12,5.6,1628.9,356.1,1660.0,1272.8,1985.0
Alabama,2017-01-01,2017,1,5.4,1602.9,354.3,1630.2,1248.6,1957.2
Alabama,2017-02-01,2017,2,5.2,1614.2,356.4,1642.6,1257.8,1970.6
Alabama,2017-03-01,2017,3,5.0,1624.3,357.8,1652.8,1266.5,1982.1
Alabama,2017-04-01,2017,4,4.8,1630.2,356.8,1659.9,1273.4,1987.0
Alabama,2017-05-01,2017,5,4.6,1635.3,357.6,1665.4,1277.7,1992.9
Alabama,2017-06-01,2017,6,4.5,1641.2,358.2,1669.8,1283.0,1999.4
Alabama,2017-07-01,2017,7,4.3,1635.9,358.0,1653.3,1277.9,1993.9
Alabama,2017-08-01,2017,8,4.2,1641.6,358.7,1661.0,1282.9,2000.3
Alabama,2017-09-01,2017,9,4.1,1639.5,359.9,1664.7,1279.6,1999.4
Alabama,2017-10-01,2017,10,4.0,1643.4,361.7,1669.0,1281.7,2005.1000000000001
Alabama,2017-11-01,2017,11,4.0,1651.4,361.2,1678.4,1290.2,2012.6000000000001
Alabama,2017-12-01,2017,12,4.0,1651.1,362.1,1676.7,1289.0,2013.1999999999998
Alabama,2018-01-01,2018,1,4.0,1622.0,358.2,1645.5,1263.8,1980.2
Alabama,2018-02-01,2018,2,4.0,1634.8,361.7,1658.4,1273.1,1996.5
Alabama,2018-03-01,2018,3,4.0,1644.2,363.1,1668.0,1281.1,2007.3000000000002
Alabama,2018-04-01,2018,4,4.0,1653.7,363.3,1678.7,1290.4,2017.0
Alabama,2018-05-01,2018,5,4.0,1656.1,363.9,1682.1,1292.2,2020.0
Alabama,2018-06-01,2018,6,4.0,1665.5,366.0,1689.6,1299.5,2031.5
Alabama,2018-07-01,2018,7,3.9,1663.2,366.8,1674.5,1296.4,2030.0
Alabama,2018-08-01,2018,8,3.9,1667.9,368.0,1681.4,1299.9,2035.9
Alabama,2018-09-01,2018,9,3.9,1664.4,368.8,1683.2,1295.6,2033.2
Alabama,2018-10-01,2018,10,3.8,1672.7,369.7,1692.7,1303.0,2042.4
Alabama,2018-11-01,2018,11,3.8,1685.6,370.5,1705.9,1315.1,2056.1
Alabama,2018-12-01,2018,12,3.8,1683.9,371.6,1703.8,1312.3,2055.5
Alabama,2019-01-01,2019,1,3.7,1656.9,367.4,1675.8,1289.5,2024.3000000000002
Alabama,2019-02-01,2019,2,3.6,1666.6,369.3,1687.1,1297.3,2035.8999999999999
Alabama,2019-03-01,2019,3,3.4,1672.6,371.7,1692.1,1300.9,2044.3
Alabama,2019-04-01,2019,4,3.3,1684.2,371.8,1704.7,1312.4,2056.0
Alabama,2019-05-01,2019,5,3.2,1687.9,372.4,1709.2,1315.5,2060.3
Alabama,2019-06-01,2019,6,3.0,1691.3,373.5,1711.7,1317.8,2064.8
Alabama,2019-07-01,2019,7,3.0,1689.4,373.2,1700.9,1316.2,2062.6
Alabama,2019-08-01,2019,8,3.0,1693.0,373.9,1707.1,1319.1,2066.9
Alabama,2019-09-01,2019,9,3.0,1685.5,373.4,1706.0,1312.1,2058.9
Alabama,2019-10-01,2019,10,3.0,1691.4,374.2,1712.4,1317.2,2065.6
Alabama,2019-11-01,2019,11,3.0,1705.7,374.6,1727.6,1331.1,2080.3
Alabama,2019-12-01,2019,12,3.1,1703.7,375.7,1724.7,1328.0,2079.4
Alabama,2020-01-01,2020,1,3.2,1673.4,371.9,1694.1,1301.5,2045.3000000000002
Alabama,2020-02-01,2020,2,3.3,1682.3,373.8,1703.4,1308.5,2056.1
Alabama,2020-03-01,2020,3,3.4,1677.8,374.5,1699.2,1303.3,2052.3
Alabama,2020-04-01,2020,4,13.8,1458.1,332.0,1512.7,1126.1,1790.1
Alabama,2020-05-01,2020,5,10.4,1521.3,343.6,1552.0,1177.7,1864.9
Alabama,2020-06-01,2020,6,8.6,1576.1,357.0,1590.5,1219.1,1933.1
Alabama,2020-07-01,2020,7,7.5,1589.6,358.3,1600.9,1231.3,1947.8999999999999
Alabama,2020-08-01,2020,8,6.3,1603.8,359.0,1622.9,1244.8,1962.8
Alabama,2020-09-01,2020,9,5.9,1606.4,361.0,1631.1,1245.4,1967.4
Alabama,2020-10-01,2020,10,5.2,1634.9,364.7,1656.6,1270.2,1999.6000000000001
Alabama,2020-11-01,2020,11,4.8,1646.0,364.9,1668.0,1281.1,2010.9
Alabama,2020-12-01,2020,12,4.5,1652.1,366.6,1673.7,1285.5,2018.6999999999998
Alabama,2021-01-01,2021,1,4.2,1619.5,363.2,1639.9,1256.3,1982.7
Alabama,2021-02-01,2021,2,3.9,1631.1,364.7,1652.7,1266.4,1995.8
Alabama,2021-03-01,2021,3,3.8,1637.3,366.3,1658.8,1271.0,2003.6
Alabama,2021-04-01,2021,4,3.7,1642.6,364.3,1667.3,1278.3,2006.8999999999999
Alabama,2021-05-01,2021,5,3.6,1649.9,364.3,1675.2,1285.6,2014.2
Alabama,2021-06-01,2021,6,3.5,1659.9,366.0,1683.2,1293.9,2025.9
Alabama,2021-07-01,2021,7,3.4,1668.7,367.7,1683.0,1301.0,2036.4
Alabama,2021-08-01,2021,8,3.2,1665.8,366.5,1684.0,1299.3,2032.3
Alabama,2021-09-01,2021,9,3.0,1666.6,367.9,1687.9,1298.7,2034.5
Alabama,2021-10-01,2021,10,2.9,1687.5,371.4,1706.5,1316.1,2058.9
Alabama,2021-11-01,2021,11,2.8,1701.7,372.4,1720.9,1329.3,2074.1
