State,Date,Year,Month,Unemployment_Rate,Goods_Producing,Service_Providing,Mining_and_Logging,Construction,Manufacturing,Trade_Transport_and_Utilities,Information,Financial_Activities,Professional_and_Tech_Services,Education_and_Health_Services,Leisure_and_Hospitality,Government,Total_Tech_Employment_Thousands
Alabama,2016-01-01,2016,1,5.9,351.2,1611.6,9.9,82.7,258.6,376.4,20.8,95.1,229.1,233.2,186.2,378.5,249.9
Alabama,2016-02-01,2016,2,5.9,351.2,1623.6,9.5,82.7,259.0,375.8,20.7,95.3,230.7,236.7,190.0,381.7,251.39999999999998
Alabama,2016-03-01,2016,3,5.9,352.8,1632.0,9.5,84.5,258.8,377.3,20.6,95.5,231.9,235.6,194.6,383.0,252.5
Alabama,2016-04-01,2016,4,5.8,354.6,1646.8,9.3,85.4,259.9,379.2,20.8,95.9,235.4,237.9,199.7,383.5,256.2
Alabama,2016-05-01,2016,5,5.8,353.6,1650.0,9.2,84.5,259.9,379.7,21.0,96.1,234.9,237.3,202.2,384.6,255.9
Alabama,2016-06-01,2016,6,5.8,354.5,1649.4,9.2,84.3,261.0,379.8,21.0,96.2,234.3,236.4,203.2,383.6,255.3
Alabama,2016-07-01,2016,7,5.8,355.0,1636.6,9.3,84.2,261.5,379.6,20.8,96.4,232.7,237.0,202.2,372.7,253.5
Alabama,2016-08-01,2016,8,5.8,354.2,1643.8,9.2,83.3,261.7,378.8,20.7,96.6,234.6,239.2,202.6,376.4,255.29999999999998
Alabama,2016-09-01,2016,9,5.8,356.4,1650.6,9.4,84.7,262.3,378.7,20.5,96.6,234.1,241.6,200.5,383.5,254.6
Alabama,2016-10-01,2016,10,5.8,354.9,1650.9,9.1,84.4,261.4,379.8,20.7,96.6,234.9,241.5,197.4,385.3,255.6
Alabama,2016-11-01,2016,11,5.7,354.5,1659.1,9.3,83.6,261.6,386.8,20.9,96.6,235.5,240.8,197.2,386.5,256.4
Alabama,2016-12-01,2016,12,5.6,356.1,1660.0,9.3,84.6,262.2,388.7,20.9,96.6,234.9,242.4,194.4,387.2,255.8
Alabama,2017-01-01,2017,1,5.4,354.3,1630.2,9.6,83.1,261.6,376.8,20.5,95.5,231.6,237.2,192.2,381.6,252.1
Alabama,2017-02-01,2017,2,5.2,356.4,1642.6,9.7,83.9,262.8,375.3,20.7,95.7,234.3,240.8,195.7,384.8,255.0
Alabama,2017-03-01,2017,3,5.0,357.8,1652.8,9.7,85.3,262.8,376.4,20.9,96.0,237.0,240.2,200.1,386.3,257.9
Alabama,2017-04-01,2017,4,4.8,356.8,1659.9,9.7,84.1,263.0,377.1,20.7,95.7,237.7,241.9,204.2,386.5,258.4
Alabama,2017-05-01,2017,5,4.6,357.6,1665.4,9.7,85.0,262.9,377.6,21.1,96.1,239.0,241.0,206.5,387.7,260.1
Alabama,2017-06-01,2017,6,4.5,358.2,1669.8,9.7,84.7,263.8,378.8,21.0,96.3,241.3,241.0,208.0,386.8,262.3
Alabama,2017-07-01,2017,7,4.3,358.0,1653.3,9.8,84.7,263.5,377.5,21.0,97.0,238.9,239.3,207.7,375.4,259.9
Alabama,2017-08-01,2017,8,4.2,358.7,1661.0,9.9,85.1,263.7,377.8,20.7,97.1,242.1,240.9,207.9,378.1,262.8
Alabama,2017-09-01,2017,9,4.1,359.9,1664.7,10.0,86.2,263.7,376.8,20.6,97.5,240.7,243.3,204.2,385.1,261.3
